arquivo_alvo,nome,titulo,linhas,termos_chave,n_fontes_com_hit,n_hits_fortes,n_hits_documentos_vigentes,n_hits_rastreabilidade_consolidada,n_hits_indices,classe_cobertura,decisao_preliminar,exemplos_cobertura
relatorios/atuais/PLANO_LIMPEZA_REPOSITORIO_POS_RD.md,PLANO_LIMPEZA_REPOSITORIO_POS_RD.md,Plano de limpeza do repositório pós-RD,43,limpeza repositorio pos | limpeza repositorio pos rd | plano de limpeza do repositorio pos rd | plano de limpeza do repositorio pos-rd | plano limpeza repositorio pos rd | plano_limpeza_repositorio_pos_rd | plano_limpeza_repositorio_pos_rd.md,0,0,0,0,0,SEM_COBERTURA_DETECTADA,MANTER_E_REVISAR_MANUALMENTE,
relatorios/atuais/STATUS_LOCAL_IGNORADOS_POS_LIMPEZA.txt,STATUS_LOCAL_IGNORADOS_POS_LIMPEZA.txt,STATUS_LOCAL_IGNORADOS_POS_LIMPEZA.txt,44,ignorados pos limpeza | status local ignorados | status local ignorados pos limpeza | status_local_ignorados_pos_limpeza | status_local_ignorados_pos_limpeza.txt,0,0,0,0,0,SEM_COBERTURA_DETECTADA,MANTER_E_REVISAR_MANUALMENTE,
relatorios/atuais/CORRECAO_CIRURGICA_V200.md,CORRECAO_CIRURGICA_V200.md,Correção cirúrgica V200,22,cirurgica v200 | correcao cirurgica | correcao cirurgica v200 | correcao_cirurgica_v200 | correcao_cirurgica_v200.md | v200,3,0,0,2,0,COBERTURA_FRACA,MANTER_ATE_COBERTURA_SER_REFORCADA,relatorios/atuais/LEIA-ME_OPERACIONAL.md [REVISAO_MANUAL] termos=v200 || relatorios/atuais/RELATORIO_CONSOLIDADO_AUDITORIAS_ESPECIFICAS_RAIZ_HISTORICO.md [RASTREABILIDADE_CONSOLIDADA] termos=correcao cirurgica || relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V031_V060.md [RASTREABILIDADE_CONSOLIDADA] termos=correcao cirurgica
relatorios/atuais/HOTFIX_CONSOLE_IMPORTS_V205.md,HOTFIX_CONSOLE_IMPORTS_V205.md,HOTFIX_CONSOLE_IMPORTS_V205,73,console imports | console imports v205 | hotfix console imports v205 | hotfix_console_imports_v205 | hotfix_console_imports_v205.md | v205,2,1,1,0,0,COBERTURA_FORTE,CANDIDATO_REMOCAO_CONTROLADA_APOS_REVISAO_HUMANA,relatorios/atuais/GOVERNANCA_ESTRUTURAL_V206.md [DOCUMENTO_VIGENTE_CANDIDATO] termos=v205 || relatorios/atuais/LEIA-ME_OPERACIONAL.md [REVISAO_MANUAL] termos=hotfix_console_imports_v205; hotfix_console_imports_v205.md; v205
relatorios/atuais/HOTFIX_UTILITARIOS_SERIES_V207.md,HOTFIX_UTILITARIOS_SERIES_V207.md,HOTFIX_UTILITARIOS_SERIES_V207,47,hotfix utilitarios series v207 | hotfix_utilitarios_series_v207 | hotfix_utilitarios_series_v207.md | utilitarios series | utilitarios series v207 | v207,0,0,0,0,0,SEM_COBERTURA_DETECTADA,MANTER_E_REVISAR_MANUALMENTE,
relatorios/atuais/CORRECAO_SALDOS_FUTUROS_LOTES_V208.md,CORRECAO_SALDOS_FUTUROS_LOTES_V208.md,CORREÇÃO SALDOS FUTUROS DE LOTES — V208,49,correcao saldos futuros de lotes v208 | correcao saldos futuros lotes v208 | correcao_saldos_futuros_lotes_v208 | correcao_saldos_futuros_lotes_v208.md | saldos futuros lotes | saldos futuros lotes v208 | v208,3,0,1,0,0,COBERTURA_FRACA,MANTER_ATE_COBERTURA_SER_REFORCADA,relatorios/atuais/INTEGRACAO_FUNCIONAL_APORTES_FUTUROS_V216.md [REVISAO_MANUAL] termos=v208 || relatorios/atuais/LEIA-ME_OPERACIONAL.md [REVISAO_MANUAL] termos=v208 || relatorios/atuais/VALIDACAO_LOCAL_V216.md [DOCUMENTO_VIGENTE_CANDIDATO] termos=v208
