arquivo,grupo,extensao,existe_fs,tamanho_bytes
relatorios/atuais/RELATORIO_CONSOLIDADO_AUDITORIAS_SHADOW_LEGACY_HISTORICO.md,relatorios/atuais/RELATORIO_CONSOLIDADO_AUDITORIAS_SHADOW_LEGACY_HISTORICO.md,.md,True,9948
relatorios/atuais/RELATORIO_CONSOLIDADO_AUDITORIAS_TEMPORAIS_HISTORICO.md,relatorios/atuais/RELATORIO_CONSOLIDADO_AUDITORIAS_TEMPORAIS_HISTORICO.md,.md,True,34675
relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V001_V030.md,relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V001_V030.md,.md,True,16953
relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V031_V060.md,relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V031_V060.md,.md,True,33554
relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V061_V090.md,relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V061_V090.md,.md,True,55440
relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V091_V120.md,relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V091_V120.md,.md,True,28634
relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V121_V150.md,relatorios/atuais/RELATORIO_CONSOLIDADO_BASELINES_HISTORICAS_V121_V150.md,.md,True,14287
relatorios/atuais/RELATORIO_CONSOLIDADO_CONTRATOS_INTERMEDIARIOS_HISTORICO.md,relatorios/atuais/RELATORIO_CONSOLIDADO_CONTRATOS_INTERMEDIARIOS_HISTORICO.md,.md,True,51660
relatorios/atuais/RELATORIO_CONSOLIDADO_DOCUMENTACAO_BASELINE_HISTORICO.md,relatorios/atuais/RELATORIO_CONSOLIDADO_DOCUMENTACAO_BASELINE_HISTORICO.md,.md,True,8927
relatorios/atuais/RELATORIO_CONSOLIDADO_ESTRUTURAS_HISTORICAS_V031_V060.md,relatorios/atuais/RELATORIO_CONSOLIDADO_ESTRUTURAS_HISTORICAS_V031_V060.md,.md,True,6540
relatorios/atuais/RELATORIO_CONSOLIDADO_ESTRUTURAS_HISTORICAS_V061_V090.md,relatorios/atuais/RELATORIO_CONSOLIDADO_ESTRUTURAS_HISTORICAS_V061_V090.md,.md,True,36278
relatorios/atuais/RELATORIO_CONSOLIDADO_ESTRUTURAS_HISTORICAS_V091_V120.md,relatorios/atuais/RELATORIO_CONSOLIDADO_ESTRUTURAS_HISTORICAS_V091_V120.md,.md,True,25511
relatorios/atuais/RELATORIO_CONSOLIDADO_ESTRUTURAS_HISTORICAS_V121_V150.md,relatorios/atuais/RELATORIO_CONSOLIDADO_ESTRUTURAS_HISTORICAS_V121_V150.md,.md,True,18041
relatorios/atuais/RELATORIO_CONSOLIDADO_LIMPEZA_REPOSITORIO_HISTORICO.md,relatorios/atuais/RELATORIO_CONSOLIDADO_LIMPEZA_REPOSITORIO_HISTORICO.md,.md,True,9579
relatorios/atuais/RELATORIO_CONSOLIDADO_LOGS_ITERACOES.md,relatorios/atuais/RELATORIO_CONSOLIDADO_LOGS_ITERACOES.md,.md,True,20709
relatorios/atuais/RELATORIO_CONSOLIDADO_OBJETIVO_FINAL_HISTORICO.md,relatorios/atuais/RELATORIO_CONSOLIDADO_OBJETIVO_FINAL_HISTORICO.md,.md,True,9600
relatorios/atuais/RELATORIO_CONSOLIDADO_REORGANIZACAO_LOCAL_SWITCHING_HISTORICO.md,relatorios/atuais/RELATORIO_CONSOLIDADO_REORGANIZACAO_LOCAL_SWITCHING_HISTORICO.md,.md,True,19845
relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_DIARIAS_HISTORICO.md,relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_DIARIAS_HISTORICO.md,.md,True,13529
relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_HISTORICAS_V001_V030.md,relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_HISTORICAS_V001_V030.md,.md,True,20888
relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_HISTORICAS_V031_V060.md,relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_HISTORICAS_V031_V060.md,.md,True,24581
relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_HISTORICAS_V061_V090.md,relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_HISTORICAS_V061_V090.md,.md,True,34552
relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_HISTORICAS_V091_V120.md,relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_HISTORICAS_V091_V120.md,.md,True,22099
relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_HISTORICAS_V121_V150.md,relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_HISTORICAS_V121_V150.md,.md,True,14630
relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_RD_2026_04_28.md,relatorios/atuais/RELATORIO_CONSOLIDADO_VALIDACOES_RD_2026_04_28.md,.md,True,6950
relatorios/atuais/RELATORIO_FECHAMENTO_LIMPEZA_RELATORIOS_HISTORICO.md,relatorios/atuais/RELATORIO_FECHAMENTO_LIMPEZA_RELATORIOS_HISTORICO.md,.md,True,2088
relatorios/atuais/STATUS_LOCAL_IGNORADOS_POS_LIMPEZA.txt,relatorios/atuais/STATUS_LOCAL_IGNORADOS_POS_LIMPEZA.txt,.txt,True,2330
relatorios/atuais/VALIDACAO_LOCAL_V216.md,relatorios/atuais/VALIDACAO_LOCAL_V216.md,.md,True,2814
relatorios/atuais/VALIDACAO_LOCAL_V217.md,relatorios/atuais/VALIDACAO_LOCAL_V217.md,.md,True,1347
relatorios/atuais/VALIDACAO_LOCAL_V218.md,relatorios/atuais/VALIDACAO_LOCAL_V218.md,.md,True,1879
relatorios/atuais/VALIDACAO_LOCAL_V219.md,relatorios/atuais/VALIDACAO_LOCAL_V219.md,.md,True,1711
relatorios/atuais/VALIDACAO_LOCAL_V220.md,relatorios/atuais/VALIDACAO_LOCAL_V220.md,.md,True,681
relatorios/atuais/VALIDACAO_LOCAL_V221.md,relatorios/atuais/VALIDACAO_LOCAL_V221.md,.md,True,4300
relatorios/atuais/VALIDACAO_LOCAL_V222.md,relatorios/atuais/VALIDACAO_LOCAL_V222.md,.md,True,3151
relatorios/atuais/VALIDACAO_LOCAL_V223.md,relatorios/atuais/VALIDACAO_LOCAL_V223.md,.md,True,925
relatorios/atuais/VALIDACAO_LOCAL_V224.md,relatorios/atuais/VALIDACAO_LOCAL_V224.md,.md,True,654
relatorios/atuais/VALIDACAO_LOCAL_V225.md,relatorios/atuais/VALIDACAO_LOCAL_V225.md,.md,True,1152
relatorios/atuais/limpeza_atuais/RELATORIO_AUDITORIA_COBERTURA_CANDIDATOS_REMOCAO_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,5367
relatorios/atuais/limpeza_atuais/RELATORIO_AUDITORIA_CONTEUDO_HOTFIX_CONSOLE_IMPORTS_V205.md,relatorios/atuais/limpeza_atuais,.md,True,12654
relatorios/atuais/limpeza_atuais/RELATORIO_AUDITORIA_FINAL_ELEGIBILIDADE_REMOCAO_MATERIAL_COBERTO.md,relatorios/atuais/limpeza_atuais,.md,True,8545
relatorios/atuais/limpeza_atuais/RELATORIO_CONSOLIDADO_MATERIAL_CONSOLIDAVEL_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,108278
relatorios/atuais/limpeza_atuais/RELATORIO_DECISAO_ATUALIZADA_CANDIDATOS_REMOCAO_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,3105
relatorios/atuais/limpeza_atuais/RELATORIO_DECISAO_CLASSES_RESTANTES_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,12789
relatorios/atuais/limpeza_atuais/RELATORIO_DECISAO_DOCUMENTOS_VIGENTES_CANDIDATOS_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,5331
relatorios/atuais/limpeza_atuais/RELATORIO_DECISAO_MATERIAL_LIMPEZA_AUDITORIA_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,9917
relatorios/atuais/limpeza_atuais/RELATORIO_DECISAO_POS_CONSOLIDACAO_MATERIAL_AUXILIAR_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,9723
relatorios/atuais/limpeza_atuais/RELATORIO_DECISAO_REVISAO_MANUAL_DOCUMENTOS_VIGENTES_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,2165
relatorios/atuais/limpeza_atuais/RELATORIO_DECISAO_REVISAO_MANUAL_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,5022
relatorios/atuais/limpeza_atuais/RELATORIO_DECISAO_SUPORTE_TECNICO_RECENTE_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,3899
relatorios/atuais/limpeza_atuais/RELATORIO_FECHAMENTO_DOCUMENTO_VIGENTE_CANDIDATO.md,relatorios/atuais/limpeza_atuais,.md,True,3433
relatorios/atuais/limpeza_atuais/RELATORIO_FECHAMENTO_GERAL_REVISAO_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,5309
relatorios/atuais/limpeza_atuais/RELATORIO_FECHAMENTO_MATERIAL_LIMPEZA_AUDITORIA.md,relatorios/atuais/limpeza_atuais,.md,True,4355
relatorios/atuais/limpeza_atuais/RELATORIO_FECHAMENTO_TRIAGEM_REVISAO_MANUAL_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,2867
relatorios/atuais/limpeza_atuais/RESUMO_TRIAGEM_RELATORIOS_ATUAIS.md,relatorios/atuais/limpeza_atuais,.md,True,16266
relatorios/atuais/limpeza_atuais/auditoria_cobertura_candidatos_remocao_relatorios_atuais.csv,relatorios/atuais/limpeza_atuais,.csv,True,3201
relatorios/atuais/limpeza_atuais/auditoria_conteudo_hotfix_console_imports_v205.csv,relatorios/atuais/limpeza_atuais,.csv,True,6107
relatorios/atuais/limpeza_atuais/auditoria_final_elegibilidade_remocao_material_coberto.csv,relatorios/atuais/limpeza_atuais,.csv,True,80419
relatorios/atuais/limpeza_atuais/decisao_atualizada_candidatos_remocao_relatorios_atuais.csv,relatorios/atuais/limpeza_atuais,.csv,True,3985
relatorios/atuais/limpeza_atuais/decisao_classes_restantes_relatorios_atuais.csv,relatorios/atuais/limpeza_atuais,.csv,True,15742
relatorios/atuais/limpeza_atuais/decisao_documentos_vigentes_candidatos_relatorios_atuais.csv,relatorios/atuais/limpeza_atuais,.csv,True,7484
relatorios/atuais/limpeza_atuais/decisao_material_limpeza_auditoria_relatorios_atuais.csv,relatorios/atuais/limpeza_atuais,.csv,True,12682
relatorios/atuais/limpeza_atuais/decisao_pos_consolidacao_material_auxiliar_relatorios_atuais.csv,relatorios/atuais/limpeza_atuais,.csv,True,105013
relatorios/atuais/limpeza_atuais/decisao_revisao_manual_documentos_vigentes_relatorios_atuais.csv,relatorios/atuais/limpeza_atuais,.csv,True,1349
