arquivo,nome,referencias_operacionais,referencias_diagnostico,referencias_ignoradas,classe_refinada,acao_refinada,exemplos_operacionais,exemplos_diagnostico
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparativo_proxy_v3_vs_hibrido_shadow.py,inspecionar_comparativo_proxy_v3_vs_hibrido_shadow.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_comparativo_proxy_v3_vs_hibrido_shadow.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparativo_proxy_v3_vs_hibrido_shadow.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_contrato_f1.py,inspecionar_contrato_f1.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_contrato_f1.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_contrato_f1.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_divergencias_residuais_proxy_v3_vs_hibrido_shadow.py,inspecionar_divergencias_residuais_proxy_v3_vs_hibrido_shadow.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_divergencias_residuais_proxy_v3_vs_hibrido_shadow.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_divergencias_residuais_proxy_v3_vs_hibrido_shadow.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py,inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py,inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v133.py,inspecionar_grade_diaria_hibrida_v133.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v134.py,inspecionar_grade_diaria_hibrida_v134.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v136.py,inspecionar_grade_diaria_hibrida_v136.py,0,0,20,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_parametrizada_v130.py,inspecionar_grade_diaria_parametrizada_v130.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v126.py,inspecionar_grade_diaria_switching_v126.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v127.py,inspecionar_grade_diaria_switching_v127.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_integracao_funcional_minima_v117.py,inspecionar_integracao_funcional_minima_v117.py,0,0,20,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_mapa_absorcao_legado.py,inspecionar_mapa_absorcao_legado.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_mapa_absorcao_legado.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_mapa_absorcao_legado.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_mapa_execucao_principal_script2.py,inspecionar_mapa_execucao_principal_script2.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_mapa_execucao_principal_script2.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_mapa_execucao_principal_script2.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_parametros_produtos_switching_v129.py,inspecionar_parametros_produtos_switching_v129.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_planejador_switching_temporal_horizonte_longo_v122.py,inspecionar_planejador_switching_temporal_horizonte_longo_v122.py,0,0,20,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_primeira_quebra_runner_futuro_shadow.py,inspecionar_primeira_quebra_runner_futuro_shadow.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_primeira_quebra_runner_futuro_shadow.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_primeira_quebra_runner_futuro_shadow.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_simulacao_central_controlada_horizonte_longo_v124.py,inspecionar_simulacao_central_controlada_horizonte_longo_v124.py,0,0,18,SEM_REFERENCIA_OPERACIONAL_REAL,candidato_remocao_refinada,,
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_transicao_dominante_proxy_v3_vs_hibrido_shadow.py,inspecionar_transicao_dominante_proxy_v3_vs_hibrido_shadow.py,0,1,15,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_transicao_dominante_proxy_v3_vs_hibrido_shadow.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_transicao_dominante_proxy_v3_vs_hibrido_shadow.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_validacao_diaria_operacional_v176.py,inspecionar_validacao_diaria_operacional_v176.py,0,1,10,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_validacao_diaria_operacional_v176.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_validacao_diaria_operacional_v176.py
scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_validacao_diaria_operacional_v177.py,inspecionar_validacao_diaria_operacional_v177.py,0,1,10,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/inspecionar_validacao_diaria_operacional_v177.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_validacao_diaria_operacional_v177.py
scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/bloco_critico/inspecionar_heuristica_conjunta_parcial_bloco_critico.py,inspecionar_heuristica_conjunta_parcial_bloco_critico.py,0,3,19,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,"scripts/diagnostico/inspecionar_heuristica_conjunta_parcial_bloco_critico.py:7:    run_module_entrypoint(""scripts.diagnostico.temporal_decisao.bloco_critico.inspecionar_heuristica_conjunta_parcial_bloco_critico"") || scripts/diagnostico/temporal_decisao/bloco_critico/inspecionar_heuristica_conjunta_parcial_bloco_critico.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/bloco_critico/inspecionar_heuristica_conjunta_parcial_bloco_critico.py || scripts/diagnostico/temporal_decisao/README.md:30:- `inspecionar_heuristica_conjunta_parcial_bloco_critico.py`"
scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/bloco_critico/inspecionar_microplanejamento_conjunto_bloco_critico_v2.py,inspecionar_microplanejamento_conjunto_bloco_critico_v2.py,0,3,19,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,"scripts/diagnostico/inspecionar_microplanejamento_conjunto_bloco_critico_v2.py:7:    run_module_entrypoint(""scripts.diagnostico.temporal_decisao.bloco_critico.inspecionar_microplanejamento_conjunto_bloco_critico_v2"") || scripts/diagnostico/temporal_decisao/bloco_critico/inspecionar_microplanejamento_conjunto_bloco_critico_v2.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/bloco_critico/inspecionar_microplanejamento_conjunto_bloco_critico_v2.py || scripts/diagnostico/temporal_decisao/README.md:31:- `inspecionar_microplanejamento_conjunto_bloco_critico_v2.py`"
scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/bloco_critico/inspecionar_planejamento_conjunto_local_bloco_critico_v1.py,inspecionar_planejamento_conjunto_local_bloco_critico_v1.py,0,3,19,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,"scripts/diagnostico/inspecionar_planejamento_conjunto_local_bloco_critico_v1.py:7:    run_module_entrypoint(""scripts.diagnostico.temporal_decisao.bloco_critico.inspecionar_planejamento_conjunto_local_bloco_critico_v1"") || scripts/diagnostico/temporal_decisao/bloco_critico/inspecionar_planejamento_conjunto_local_bloco_critico_v1.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/bloco_critico/inspecionar_planejamento_conjunto_local_bloco_critico_v1.py || scripts/diagnostico/temporal_decisao/README.md:32:- `inspecionar_planejamento_conjunto_local_bloco_critico_v1.py`"
scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v143.py,inspecionar_motor_diario_conjunto_experimental_v143.py,0,2,23,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v143.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v143.py || scripts/diagnostico/temporal_decisao/README.md:13:- `inspecionar_motor_diario_conjunto_experimental_v143.py`
scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v144.py,inspecionar_motor_diario_conjunto_experimental_v144.py,0,2,23,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v144.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v144.py || scripts/diagnostico/temporal_decisao/README.md:14:- `inspecionar_motor_diario_conjunto_experimental_v144.py`
scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_pos_vencimento_v146.py,inspecionar_motor_diario_pos_vencimento_v146.py,0,2,23,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/temporal_decisao/motor_diario/inspecionar_motor_diario_pos_vencimento_v146.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_pos_vencimento_v146.py || scripts/diagnostico/temporal_decisao/README.md:15:- `inspecionar_motor_diario_pos_vencimento_v146.py`
scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/run_v150_multi.py,run_v150_multi.py,0,2,23,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/temporal_decisao/motor_diario/run_v150_multi.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/run_v150_multi.py || scripts/diagnostico/temporal_decisao/README.md:16:- `run_v150_multi.py`
scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_auditoria_3k_mar_pos_pagamento_v147.py,inspecionar_auditoria_3k_mar_pos_pagamento_v147.py,0,2,23,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/temporal_decisao/README.md:22:- `inspecionar_auditoria_3k_mar_pos_pagamento_v147.py` || scripts/diagnostico/temporal_decisao/valoracao_decisao/inspecionar_auditoria_3k_mar_pos_pagamento_v147.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_auditoria_3k_mar_pos_pagamento_v147.py
scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_chave_tau_v149.py,inspecionar_chave_tau_v149.py,0,2,23,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/temporal_decisao/README.md:24:- `inspecionar_chave_tau_v149.py` || scripts/diagnostico/temporal_decisao/valoracao_decisao/inspecionar_chave_tau_v149.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_chave_tau_v149.py
scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_correcao_flattening_v148.py,inspecionar_correcao_flattening_v148.py,0,2,23,REFERENCIA_APENAS_DIAGNOSTICA,avaliar_remocao_em_bloco_diagnostico_historico,,scripts/diagnostico/temporal_decisao/README.md:23:- `inspecionar_correcao_flattening_v148.py` || scripts/diagnostico/temporal_decisao/valoracao_decisao/inspecionar_correcao_flattening_v148.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_correcao_flattening_v148.py
