arquivo,nome,categoria_preliminar,referencias_encontradas_fora_do_proprio_arquivo,exemplos_referencias
scripts\diagnostico\inspecionar_grade_diaria_hibrida_v136.py,inspecionar_grade_diaria_hibrida_v136.py,diagnostico_historico_antigo,16,"scripts/diagnostico/inspecionar_grade_diaria_hibrida_v136.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v136.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v136.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v136.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:624:scripts/diagnostico/inspecionar_grade_diaria_hibrida_v136.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:708:scripts/historico_raiz/inspecionar_grade_diaria_hibrida_v136.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:762:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v136.py"
scripts\diagnostico\inspecionar_grade_diaria_parametrizada_v130.py,inspecionar_grade_diaria_parametrizada_v130.py,diagnostico_historico_antigo,14,"scripts/diagnostico/inspecionar_grade_diaria_parametrizada_v130.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_parametrizada_v130.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_parametrizada_v130.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_parametrizada_v130.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:625:scripts/diagnostico/inspecionar_grade_diaria_parametrizada_v130.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:709:scripts/historico_raiz/inspecionar_grade_diaria_parametrizada_v130.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:763:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_parametrizada_v130.py"
scripts\diagnostico\inspecionar_grade_diaria_switching_v126.py,inspecionar_grade_diaria_switching_v126.py,diagnostico_historico_antigo,14,"scripts/diagnostico/inspecionar_grade_diaria_switching_v126.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v126.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v126.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v126.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:626:scripts/diagnostico/inspecionar_grade_diaria_switching_v126.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:710:scripts/historico_raiz/inspecionar_grade_diaria_switching_v126.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:764:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v126.py"
scripts\diagnostico\inspecionar_grade_diaria_switching_v127.py,inspecionar_grade_diaria_switching_v127.py,diagnostico_historico_antigo,14,"scripts/diagnostico/inspecionar_grade_diaria_switching_v127.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v127.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v127.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v127.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:627:scripts/diagnostico/inspecionar_grade_diaria_switching_v127.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:711:scripts/historico_raiz/inspecionar_grade_diaria_switching_v127.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:765:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_switching_v127.py"
scripts\diagnostico\inspecionar_integracao_funcional_minima_v117.py,inspecionar_integracao_funcional_minima_v117.py,diagnostico_historico_antigo,16,"scripts/diagnostico/inspecionar_integracao_funcional_minima_v117.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_integracao_funcional_minima_v117.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_integracao_funcional_minima_v117.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_integracao_funcional_minima_v117.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:629:scripts/diagnostico/inspecionar_integracao_funcional_minima_v117.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:713:scripts/historico_raiz/inspecionar_integracao_funcional_minima_v117.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:766:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_integracao_funcional_minima_v117.py"
scripts\diagnostico\inspecionar_motor_diario_conjunto_experimental_v143.py,inspecionar_motor_diario_conjunto_experimental_v143.py,diagnostico_historico_intermediario,20,"scripts/diagnostico/inspecionar_motor_diario_conjunto_experimental_v143.py:7:    run_module_entrypoint(""scripts.diagnostico.temporal_decisao.motor_diario.inspecionar_motor_diario_conjunto_experimental_v143"") || scripts/diagnostico/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v143.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v143.py || scripts/diagnostico/temporal_decisao/README.md:13:- `inspecionar_motor_diario_conjunto_experimental_v143.py` || scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v143.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v143.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:633:scripts/diagnostico/inspecionar_motor_diario_conjunto_experimental_v143.py"
scripts\diagnostico\inspecionar_motor_diario_conjunto_experimental_v144.py,inspecionar_motor_diario_conjunto_experimental_v144.py,diagnostico_historico_intermediario,20,"scripts/diagnostico/inspecionar_motor_diario_conjunto_experimental_v144.py:7:    run_module_entrypoint(""scripts.diagnostico.temporal_decisao.motor_diario.inspecionar_motor_diario_conjunto_experimental_v144"") || scripts/diagnostico/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v144.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v144.py || scripts/diagnostico/temporal_decisao/README.md:14:- `inspecionar_motor_diario_conjunto_experimental_v144.py` || scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v144.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_conjunto_experimental_v144.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:634:scripts/diagnostico/inspecionar_motor_diario_conjunto_experimental_v144.py"
scripts\diagnostico\inspecionar_motor_diario_pos_vencimento_v146.py,inspecionar_motor_diario_pos_vencimento_v146.py,diagnostico_historico_intermediario,20,"scripts/diagnostico/inspecionar_motor_diario_pos_vencimento_v146.py:7:    run_module_entrypoint(""scripts.diagnostico.temporal_decisao.motor_diario.inspecionar_motor_diario_pos_vencimento_v146"") || scripts/diagnostico/temporal_decisao/motor_diario/inspecionar_motor_diario_pos_vencimento_v146.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_pos_vencimento_v146.py || scripts/diagnostico/temporal_decisao/README.md:15:- `inspecionar_motor_diario_pos_vencimento_v146.py` || scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_pos_vencimento_v146.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/inspecionar_motor_diario_pos_vencimento_v146.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:635:scripts/diagnostico/inspecionar_motor_diario_pos_vencimento_v146.py"
scripts\diagnostico\inspecionar_parametros_produtos_switching_v129.py,inspecionar_parametros_produtos_switching_v129.py,diagnostico_historico_antigo,14,"scripts/diagnostico/inspecionar_parametros_produtos_switching_v129.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_parametros_produtos_switching_v129.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_parametros_produtos_switching_v129.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_parametros_produtos_switching_v129.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:637:scripts/diagnostico/inspecionar_parametros_produtos_switching_v129.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:721:scripts/historico_raiz/inspecionar_parametros_produtos_switching_v129.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:769:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_parametros_produtos_switching_v129.py"
scripts\diagnostico\inspecionar_planejador_switching_temporal_horizonte_longo_v122.py,inspecionar_planejador_switching_temporal_horizonte_longo_v122.py,diagnostico_historico_antigo,16,"scripts/diagnostico/inspecionar_planejador_switching_temporal_horizonte_longo_v122.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_planejador_switching_temporal_horizonte_longo_v122.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_planejador_switching_temporal_horizonte_longo_v122.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_planejador_switching_temporal_horizonte_longo_v122.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:638:scripts/diagnostico/inspecionar_planejador_switching_temporal_horizonte_longo_v122.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:722:scripts/historico_raiz/inspecionar_planejador_switching_temporal_horizonte_longo_v122.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:770:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_planejador_switching_temporal_horizonte_longo_v122.py"
scripts\diagnostico\inspecionar_ranking_carteira_estabilizado_v123.py,inspecionar_ranking_carteira_estabilizado_v123.py,diagnostico_historico_antigo,10,"scripts/diagnostico/verificar_release_baseline.py:168:    ranking = base / 'scripts' / 'diagnostico' / 'inspecionar_ranking_carteira_estabilizado_v123.py' || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:641:scripts/diagnostico/inspecionar_ranking_carteira_estabilizado_v123.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:725:scripts/historico_raiz/inspecionar_ranking_carteira_estabilizado_v123.py || relatorios/atuais/MAPA_GOVERNANCA_FINAL_SCRIPTS_V204.csv:60:scripts/diagnostico/inspecionar_ranking_carteira_estabilizado_v123.py,WRAPPER_CANONICO_READ_ONLY,convertido para leitura de nucleo.saida_canonica; sem escrita propria || relatorios/atuais/MAPA_GOVERNANCA_FINAL_SCRIPTS_V204.csv:140:scripts/historico_raiz/inspecionar_ranking_carteira_estabilizado_v123.py,HISTORICO_BLOQUEADO_V204,bloqueado; sem autoridade operacional"
scripts\diagnostico\inspecionar_simulacao_central_controlada_horizonte_longo_v124.py,inspecionar_simulacao_central_controlada_horizonte_longo_v124.py,diagnostico_historico_antigo,14,"scripts/diagnostico/inspecionar_simulacao_central_controlada_horizonte_longo_v124.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_simulacao_central_controlada_horizonte_longo_v124.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_simulacao_central_controlada_horizonte_longo_v124.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_simulacao_central_controlada_horizonte_longo_v124.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:647:scripts/diagnostico/inspecionar_simulacao_central_controlada_horizonte_longo_v124.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:731:scripts/historico_raiz/inspecionar_simulacao_central_controlada_horizonte_longo_v124.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:772:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_simulacao_central_controlada_horizonte_longo_v124.py"
scripts\diagnostico\run_v150_multi.py,run_v150_multi.py,diagnostico_historico_intermediario,20,"scripts/diagnostico/run_v150_multi.py:7:    run_module_entrypoint(""scripts.diagnostico.temporal_decisao.motor_diario.run_v150_multi"") || scripts/diagnostico/temporal_decisao/motor_diario/run_v150_multi.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/run_v150_multi.py || scripts/diagnostico/temporal_decisao/README.md:16:- `run_v150_multi.py` || scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/run_v150_multi.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/motor_diario/run_v150_multi.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:654:scripts/diagnostico/run_v150_multi.py"
