arquivo,nome,categoria_preliminar,referencias_encontradas_fora_do_proprio_arquivo,exemplos_referencias
scripts\diagnostico\inspecionar_auditoria_3k_mar_pos_pagamento_v147.py,inspecionar_auditoria_3k_mar_pos_pagamento_v147.py,diagnostico_historico_intermediario,20,"scripts/diagnostico/inspecionar_auditoria_3k_mar_pos_pagamento_v147.py:7:    run_module_entrypoint(""scripts.diagnostico.temporal_decisao.valoracao_decisao.inspecionar_auditoria_3k_mar_pos_pagamento_v147"") || scripts/diagnostico/temporal_decisao/README.md:22:- `inspecionar_auditoria_3k_mar_pos_pagamento_v147.py` || scripts/diagnostico/temporal_decisao/valoracao_decisao/inspecionar_auditoria_3k_mar_pos_pagamento_v147.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_auditoria_3k_mar_pos_pagamento_v147.py || scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_auditoria_3k_mar_pos_pagamento_v147.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_auditoria_3k_mar_pos_pagamento_v147.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:600:scripts/diagnostico/inspecionar_auditoria_3k_mar_pos_pagamento_v147.py"
scripts\diagnostico\inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py,inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py,diagnostico_historico_antigo,14,"scripts/diagnostico/inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:601:scripts/diagnostico/inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:685:scripts/historico_raiz/inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:747:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_auditoria_cirurgica_bloco_8500_picpay_v131.py"
scripts\diagnostico\inspecionar_chave_tau_v149.py,inspecionar_chave_tau_v149.py,diagnostico_historico_intermediario,20,"scripts/diagnostico/inspecionar_chave_tau_v149.py:7:    run_module_entrypoint(""scripts.diagnostico.temporal_decisao.valoracao_decisao.inspecionar_chave_tau_v149"") || scripts/diagnostico/temporal_decisao/README.md:24:- `inspecionar_chave_tau_v149.py` || scripts/diagnostico/temporal_decisao/valoracao_decisao/inspecionar_chave_tau_v149.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_chave_tau_v149.py || scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_chave_tau_v149.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_chave_tau_v149.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:609:scripts/diagnostico/inspecionar_chave_tau_v149.py"
scripts\diagnostico\inspecionar_comparador_hibrido_switching_v132.py,inspecionar_comparador_hibrido_switching_v132.py,diagnostico_historico_antigo,14,"scripts/diagnostico/inspecionar_comparador_hibrido_switching_v132.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparador_hibrido_switching_v132.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparador_hibrido_switching_v132.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparador_hibrido_switching_v132.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:610:scripts/diagnostico/inspecionar_comparador_hibrido_switching_v132.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:694:scripts/historico_raiz/inspecionar_comparador_hibrido_switching_v132.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:753:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_comparador_hibrido_switching_v132.py"
scripts\diagnostico\inspecionar_contrato_v117.py,inspecionar_contrato_v117.py,diagnostico_historico_antigo,9,"relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:615:scripts/diagnostico/inspecionar_contrato_v117.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:699:scripts/historico_raiz/inspecionar_contrato_v117.py || relatorios/atuais/MAPA_GOVERNANCA_FINAL_SCRIPTS_V204.csv:34:scripts/diagnostico/inspecionar_contrato_v117.py,SEM_CLASSIFICACAO_OPERACIONAL_ATIVA,sem autoridade operacional explicita nesta frente || relatorios/atuais/MAPA_GOVERNANCA_FINAL_SCRIPTS_V204.csv:114:scripts/historico_raiz/inspecionar_contrato_v117.py,HISTORICO_BLOQUEADO_V204,bloqueado; sem autoridade operacional || relatorios/atuais/MAPA_GOVERNANCA_SCRIPTS_V203.csv:65:scripts/diagnostico/inspecionar_contrato_v117.py,MANTER_DOCUMENTADO_SEM_AUTORIDADE_OPERACIONAL,,nao,nao,,""Suporte, auditoria específica ou diagnóstico sem autoridade operacional geral."""
scripts\diagnostico\inspecionar_correcao_flattening_v148.py,inspecionar_correcao_flattening_v148.py,diagnostico_historico_intermediario,20,"scripts/diagnostico/inspecionar_correcao_flattening_v148.py:7:    run_module_entrypoint(""scripts.diagnostico.temporal_decisao.valoracao_decisao.inspecionar_correcao_flattening_v148"") || scripts/diagnostico/temporal_decisao/README.md:23:- `inspecionar_correcao_flattening_v148.py` || scripts/diagnostico/temporal_decisao/valoracao_decisao/inspecionar_correcao_flattening_v148.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_correcao_flattening_v148.py || scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_correcao_flattening_v148.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/temporal_decisao/valoracao_decisao/inspecionar_correcao_flattening_v148.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:616:scripts/diagnostico/inspecionar_correcao_flattening_v148.py"
scripts\diagnostico\inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py,inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py,diagnostico_historico_intermediario,14,"scripts/diagnostico/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:619:scripts/diagnostico/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:703:scripts/historico_raiz/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:758:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py"
scripts\diagnostico\inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py,inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py,diagnostico_historico_intermediario,14,"scripts/diagnostico/inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:620:scripts/diagnostico/inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:704:scripts/historico_raiz/inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:759:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py"
scripts\diagnostico\inspecionar_grade_diaria_hibrida_v133.py,inspecionar_grade_diaria_hibrida_v133.py,diagnostico_historico_antigo,14,"scripts/diagnostico/inspecionar_grade_diaria_hibrida_v133.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v133.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v133.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v133.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:622:scripts/diagnostico/inspecionar_grade_diaria_hibrida_v133.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:706:scripts/historico_raiz/inspecionar_grade_diaria_hibrida_v133.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:760:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v133.py"
scripts\diagnostico\inspecionar_grade_diaria_hibrida_v134.py,inspecionar_grade_diaria_hibrida_v134.py,diagnostico_historico_antigo,14,"scripts/diagnostico/inspecionar_grade_diaria_hibrida_v134.py:4:    scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v134.py || scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v134.py:5:    ""Arquivo: scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v134.py. Use scripts operacionais/diagnosticos vigentes e nucleo.saida_canonica."" || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:623:scripts/diagnostico/inspecionar_grade_diaria_hibrida_v134.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:707:scripts/historico_raiz/inspecionar_grade_diaria_hibrida_v134.py || relatorios/atuais/INVENTARIO_RASTREADO_POS_LIMPEZA.md:761:scripts/historico_saida_propria_v203/diagnostico_original/inspecionar_grade_diaria_hibrida_v134.py"
