wrapper_raiz,existe_wrapper,linhas_nao_comentario,usa_run_module_entrypoint,modulo_destino,arquivo_destino,destino_existe,acao_preliminar
scripts\diagnostico\inspecionar_auditoria_3k_mar_pos_pagamento_v147.py,sim,4,sim,scripts.diagnostico.temporal_decisao.valoracao_decisao.inspecionar_auditoria_3k_mar_pos_pagamento_v147,scripts\diagnostico\temporal_decisao\valoracao_decisao\inspecionar_auditoria_3k_mar_pos_pagamento_v147.py,sim,remover_wrapper_raiz_manter_modulo_destino
scripts\diagnostico\inspecionar_chave_tau_v149.py,sim,4,sim,scripts.diagnostico.temporal_decisao.valoracao_decisao.inspecionar_chave_tau_v149,scripts\diagnostico\temporal_decisao\valoracao_decisao\inspecionar_chave_tau_v149.py,sim,remover_wrapper_raiz_manter_modulo_destino
scripts\diagnostico\inspecionar_correcao_flattening_v148.py,sim,4,sim,scripts.diagnostico.temporal_decisao.valoracao_decisao.inspecionar_correcao_flattening_v148,scripts\diagnostico\temporal_decisao\valoracao_decisao\inspecionar_correcao_flattening_v148.py,sim,remover_wrapper_raiz_manter_modulo_destino
scripts\diagnostico\inspecionar_motor_diario_conjunto_experimental_v143.py,sim,4,sim,scripts.diagnostico.temporal_decisao.motor_diario.inspecionar_motor_diario_conjunto_experimental_v143,scripts\diagnostico\temporal_decisao\motor_diario\inspecionar_motor_diario_conjunto_experimental_v143.py,sim,remover_wrapper_raiz_manter_modulo_destino
scripts\diagnostico\inspecionar_motor_diario_conjunto_experimental_v144.py,sim,4,sim,scripts.diagnostico.temporal_decisao.motor_diario.inspecionar_motor_diario_conjunto_experimental_v144,scripts\diagnostico\temporal_decisao\motor_diario\inspecionar_motor_diario_conjunto_experimental_v144.py,sim,remover_wrapper_raiz_manter_modulo_destino
scripts\diagnostico\inspecionar_motor_diario_pos_vencimento_v146.py,sim,4,sim,scripts.diagnostico.temporal_decisao.motor_diario.inspecionar_motor_diario_pos_vencimento_v146,scripts\diagnostico\temporal_decisao\motor_diario\inspecionar_motor_diario_pos_vencimento_v146.py,sim,remover_wrapper_raiz_manter_modulo_destino
scripts\diagnostico\run_v150_multi.py,sim,4,sim,scripts.diagnostico.temporal_decisao.motor_diario.run_v150_multi,scripts\diagnostico\temporal_decisao\motor_diario\run_v150_multi.py,sim,remover_wrapper_raiz_manter_modulo_destino
