pagamento_id,data_pagamento_motor,descricao_motor,valor_motor,lote_recomendado_motor,lote_final_central,lote_sugerido_extrato,estrategia_recomendada_motor,estrategia_extrato,cobertura_integral_recomendada_motor,pagamento_totalmente_coberto_central,cobertura_integral_extrato,saldo_residual_temporal_motor,saldo_remanescente_central,saldo_remanescente_extrato,necessidade_switching_motor,necessita_switching_extrato,origem_mista_detectada,divergencia_lote_motor_central,divergencia_lote_motor_extrato,divergencia_lote_central_extrato,divergencia_estrategia_motor_extrato,divergencia_cobertura_motor_central,divergencia_cobertura_motor_extrato,divergencia_cobertura_central_extrato,divergencia_saldo_motor_central,divergencia_saldo_motor_extrato,divergencia_saldo_central_extrato,divergencia_switching_motor_extrato,fonte_de_verdade_operacional,precedencia_entre_camadas
despesa_auto_00145,2026-10-13,Pelada,50.0,Lote 3000 mar. B,Lote 3000 mar. B,Lote 3000 mar. B,sem_switching,sem_switching,sim,sim,sim,81.38,643.97,643.97,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00146,2026-10-15,Internet,132.4,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,65813.41,65813.41,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00147,2026-10-20,Cartão Azul,6000.0,Lote 7000 mai.,Lote 7000 mai.,Lote 7000 mai.,sem_switching,sem_switching,sim,sim,sim,0.0,1000.0,1000.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00148,2026-10-20,Condomínio,113.31,Lote 3000 mar. B,Lote 3000 mar. B,Lote 3000 mar. B,sem_switching,sem_switching,sim,sim,sim,0.0,530.48,530.48,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00149,2026-11-03,Cartão NU,2200.0,Lote 5680 abr.,Lote 5680 abr.,Lote 5680 abr.,sem_switching,sem_switching,sim,sim,sim,0.0,2616.75,2616.75,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00150,2026-11-06,Cemig SIM,195.0,Lote 5680 abr.,Lote 5680 abr.,Lote 5680 abr.,sem_switching,sem_switching,sim,sim,sim,0.0,2423.81,2423.81,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00151,2026-11-06,Faxina Rosa,950.0,Lote 7000 mai.,Lote 7000 mai.,Lote 7000 mai.,sem_switching,sem_switching,sim,sim,sim,0.0,50.0,50.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00152,2026-11-09,Claro,120.0,Lote 5680 abr.,Lote 5680 abr.,Lote 5680 abr.,sem_switching,sem_switching,sim,sim,sim,0.0,2303.06,2303.06,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00153,2026-11-09,IPTU,90.0,Lote 1800 jun.,Lote 1800 jun.,Lote 1800 jun.,sem_switching,sem_switching,sim,sim,sim,0.0,230.0,230.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00154,2026-11-10,Ginástica Biola,65.0,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,78428.41,78428.41,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00155,2026-11-11,Cemig,95.12,Lote 5680 abr.,Lote 5680 abr.,Lote 5680 abr.,sem_switching,sem_switching,sim,sim,sim,0.0,2209.54,2209.54,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00156,2026-11-11,Pelada,50.0,Lote 7000 mai.,Lote 7000 mai.,Lote 7000 mai.,sem_switching,sem_switching,sim,sim,sim,0.0,0.0,0.0,não,não,False,False,False,False,False,False,False,False,False,False,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00157,2026-11-12,Aluguel,981.95,Lote 5680 out.,Lote 5680 out.,Lote 5680 out.,sem_switching,sem_switching,sim,sim,sim,0.0,884.7,884.7,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00158,2026-11-12,Escola,2831.4,Lote 5680 out.,Lote 5680 out.,Lote 5680 out.,sem_switching,sem_switching,sim,sim,sim,0.0,1866.65,1866.65,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00159,2026-11-16,Internet,132.4,Lote 8500 mar.,Lote 8500 mar.,Lote 8500 mar.,sem_switching,sem_switching,sim,sim,sim,0.0,1545.83,1545.83,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00160,2026-11-20,Cartão Azul,5750.0,Lote 7000 nov.,Lote 7000 nov.,Lote 7000 nov.,sem_switching,sem_switching,sim,sim,sim,0.0,1250.0,1250.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00161,2026-11-20,Condomínio,113.31,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,78315.1,78315.1,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00162,2026-12-02,Cartão NU,1880.0,Lote 5680 nov.,Lote 5680 nov.,Lote 5680 nov.,sem_switching,sem_switching,sim,sim,sim,0.0,3800.0,3800.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00163,2026-12-04,Faxina Rosa,950.0,Lote 7000 nov.,Lote 7000 nov.,Lote 7000 nov.,sem_switching,sem_switching,sim,sim,sim,0.0,300.0,300.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00164,2026-12-07,Cemig SIM,195.0,Lote 7000 nov.,Lote 7000 nov.,Lote 7000 nov.,sem_switching,sem_switching,sim,sim,sim,0.0,105.0,105.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
